
Enter the Max number of generations: 
Enter the crossover probability (0.0 - 1.0): 
Enter the mutation probability (0.0 - 1.0): 
------------------------------------------------------------------------------------------
#	x1	x2	x3	x4	F(x1,x2,x3,x4)	Fitness	Parents
------------------------------------------------------------------------------------------
01	-3.3735	+43.9891	+43.0078	-14.5817	+2871099899286962714823795603246581828589947166130176.000000	0.250912	(-1,-1)
02	+25.4917	-14.5413	-17.5771	-42.6570	-2845555259782597746578135024509369974784.000000	0.999998	(-1,-1)
03	+43.3949	+46.2404	-24.3545	+6.2545	+21655141252629644525621815455466983820099584.000000	0.999998	(-1,-1)
04	-5.4240	+44.9516	-30.9339	+12.1680	-162679987091176512.000000	0.999998	(-1,-1)
05	+38.2683	+21.6118	-26.7090	-34.5228	+352341409819288179628302139392.000000	0.999998	(-1,-1)
06	-1.3824	+32.3962	+11.7323	+43.1240	+1669642281004679899916448592389948502240657408.000000	0.999998	(-1,-1)
07	-0.2612	+6.7613	+20.9957	+22.3049	+7077084946481692642936101235908199160217600.000000	0.999998	(-1,-1)
08	-26.9165	+30.6888	-4.3358	+19.7100	+8110706536083591445596470247424.000000	0.999998	(-1,-1)
09	+24.6779	-11.3280	-44.8718	+0.1696	-94248229620297054288371655372548202768013197312.000000	0.999998	(-1,-1)
10	+24.1307	-12.4488	+7.5127	+17.5256	+14218733375104972488854948773101568.000000	0.999998	(-1,-1)
11	-16.2084	+33.1582	-26.2199	+28.3676	-41488601901608706439668463422144512.000000	0.999998	(-1,-1)
12	+28.1098	-7.1538	-9.4644	+16.3781	-509260074729258484760576.000000	0.999998	(-1,-1)
13	-35.5420	+13.8266	+31.8553	+13.0756	+12539280971861259755411517836164620273844224.000000	0.999998	(-1,-1)
14	-3.7772	-6.4124	+6.1995	+45.9616	-0.883136	0.999998	(-1,-1)
15	-49.6512	-22.8047	+18.2665	-26.5677	-30419707197043825367790168078868866400256.000000	0.999998	(-1,-1)
16	-42.1159	-36.0693	+43.1423	+32.5620	-5838004779100.535156	0.999998	(-1,-1)
17	+2.6027	+48.2705	-17.2684	-23.2666	+11354522452924221643367184779382215409664.000000	0.999998	(-1,-1)
18	-14.1783	+40.2443	+44.2590	+19.6133	+553948970278123500604791611958419759259228271804416.000000	0.971755	(-1,-1)
19	+23.4025	-31.9610	-2.0191	+1.5123	-200577219932893109719477992988136701952.000000	0.999998	(-1,-1)
20	+10.8852	+38.5165	-32.1096	+25.3432	-0.199655	0.999998	(-1,-1)
21	+2.3431	+49.7457	-11.5813	+48.5659	+4009205335538059346107281735548212015529984.000000	0.999998	(-1,-1)
22	-6.6667	+44.6183	+44.5275	-6.3178	+3317964020653365786213276448755239637496051640827904.000000	0.000000	(-1,-1)
23	-28.1865	+12.7940	+17.1145	-20.3024	+86045171571160274706837298768695525376.000000	0.999998	(-1,-1)
24	+26.7248	+10.2568	-37.7404	-20.6725	-21681152934982799625669954618527104106496.000000	0.999998	(-1,-1)
25	+8.5273	-5.0088	+6.0609	+44.3490	+10691358048018048570275989028864.000000	0.999998	(-1,-1)
26	-14.7645	+0.3199	+13.9623	-41.3620	+1183539209542214504017410385772544.000000	0.999998	(-1,-1)
27	+18.3589	-38.0568	+10.1503	-20.7559	-21748194124070335584154337025196032.000000	0.999998	(-1,-1)
28	-49.5403	+28.0407	-45.4127	+2.8028	-573962729570307998592758889037988468787372883968.000000	0.999999	(-1,-1)
29	+27.7865	-6.9940	+1.3687	-28.8802	+3169113992933578055547083345100800.000000	0.999998	(-1,-1)
30	-12.3757	-4.1038	+14.8019	+9.4378	+38598331582195002796078538948608.000000	0.999998	(-1,-1)
31	-41.3098	-18.0836	+39.1354	+35.4150	+5367571737131416779498585315082240.000000	0.999998	(-1,-1)
32	+42.1732	-48.6050	-35.2575	+0.7006	-4417991194544799035009263941085318934808693309440.000000	1.000000	(-1,-1)
33	-3.6138	+20.8034	-4.9504	+31.6217	+3794382104802308991131542869770240.000000	0.999998	(-1,-1)
34	-28.8768	-40.9881	+40.2597	+39.4821	-6219455252919239680.000000	0.999998	(-1,-1)
35	-29.0449	+0.4100	-31.2738	-28.5852	-149499145553129232502391681099711004026840547328.000000	0.999998	(-1,-1)
36	-21.5493	-26.6865	+24.2176	-43.7629	-4556400588209742985759293440.000000	0.999998	(-1,-1)
37	+16.3195	-24.4137	-22.6431	-46.0562	-851996680840684360397604012389261608994471936.000000	0.999998	(-1,-1)
38	+21.4825	+42.1589	+13.3816	+30.1727	+5909672599487217064452074807130643595626807296000.000000	0.999990	(-1,-1)
39	-25.9247	+2.5171	+15.5877	-33.7515	+16277128617254688717036161335296.000000	0.999998	(-1,-1)
40	+3.9120	+30.3302	+16.9491	-49.7017	+35944406323323534285210284623247722292512292864.000000	0.999998	(-1,-1)
41	+1.1336	-38.0013	+31.9200	+22.2568	+573662301162904337145632129024.000000	0.999998	(-1,-1)
42	-28.9894	+22.1796	+11.7389	-8.0343	+308142702047087089739847721822554423296.000000	0.999998	(-1,-1)
43	-27.4104	+30.4651	+13.3805	+1.0403	+1174405403314574397264187756758960143597568.000000	0.999998	(-1,-1)
44	-46.2214	-12.4019	+7.2774	+20.0981	-214281094271939130829009772430715707719680.000000	0.999998	(-1,-1)
45	+13.1844	+34.6343	+24.0419	-15.3331	+10913627008046308685257363341931261856696772853760.000000	0.999979	(-1,-1)
46	+26.7932	-12.5764	-35.1604	-49.1315	-665816926966813194269496208277228960964673536.000000	0.999998	(-1,-1)
47	+39.9406	+30.4274	-32.8830	-6.1473	+6280092804991084303519571771392.000000	0.999998	(-1,-1)
